Date,AAPL,MSFT,GOOGL,JNJ,JPM
2020-02-27,66.08952331542969,150.2562255859375,65.20854187011719,117.6284408569336,102.53148651123047
2020-02-28,66.05084228515625,153.89442443847656,66.4135971069336,113.70523071289062,98.0879135131836
2020-03-02,72.20022583007812,164.13433837890625,68.74779510498047,118.38943481445312,102.65818786621094
2020-03-03,69.90721130371094,156.2691192626953,66.33773040771484,114.64376068115234,98.80598449707031
2020-03-04,73.14983367919922,162.006591796875,68.51374816894531,121.31489562988281,101.24739074707031
2020-03-05,70.77706909179688,157.9409942626953,65.19912719726562,120.0719985961914,96.28007507324219
2020-03-06,69.8371353149414,153.47640991210938,64.25592803955078,120.08894348144531,91.30430603027344
2020-03-09,64.3135757446289,143.074951171875,60.29119873046875,115.36246490478516,78.93666076660156
2020-03-10,68.94552612304688,152.85899353027344,63.23585891723633,119.75917053222656,85.06977844238281
2020-03-11,66.55103302001953,145.93414306640625,60.04869079589844,111.43925476074219,81.06550598144531
2020-03-12,59.97880172729492,132.093994140625,55.121917724609375,106.0363998413086,74.38326263427734
2020-03-13,67.16473388671875,150.87368774414062,60.215824127197266,113.54457092285156,87.78154754638672
2020-03-16,58.52421951293945,128.63632202148438,53.21022033691406,107.4906997680664,74.6451644897461
2020-03-17,61.09752655029297,139.22781372070312,55.44474411010742,115.48928833007812,79.20699310302734
2020-03-18,59.601863861083984,133.3668975830078,54.112266540527344,114.11111450195312,70.86895751953125
2020-03-19,59.14519119262695,135.56118774414062,55.12787628173828,107.42304992675781,72.06010437011719
2020-03-20,55.390323638916016,130.4696807861328,52.97268295288086,101.369140625,70.53949737548828
2020-03-23,54.213600158691406,129.1682891845703,52.27445602416992,93.97086334228516,66.76331329345703
2020-03-24,59.65261459350586,140.90914916992188,56.037349700927734,100.7688217163086,74.70429229736328
2020-03-25,59.32400131225586,139.5602569580078,54.629486083984375,100.95484924316406,77.49209594726562
2020-03-26,62.44580078125,148.2899627685547,57.669368743896484,107.0172119140625,82.8902359008789
2020-03-27,59.86040496826172,142.2010040283203,55.057952880859375,104.13398742675781,76.98519897460938
2020-03-30,61.56869888305664,152.20350646972656,56.845672607421875,112.46234130859375,78.9873275756836
2020-03-31,61.44305419921875,149.80979919433594,57.621253967285156,110.87276458740234,76.05594635009766
2020-04-01,58.21009826660156,144.49026489257812,54.65328598022461,108.91114807128906,71.26599884033203
2020-04-02,59.18143081665039,147.4824676513672,55.3936767578125,112.58070373535156,73.92709350585938
2020-04-03,58.33091735839844,146.12408447265625,54.1871452331543,113.44313049316406,71.74195098876953
2020-04-06,63.419559478759766,156.9910888671875,58.674556732177734,118.16958618164062,76.35972595214844
2020-04-07,62.68500518798828,155.30023193359375,58.643310546875,116.24176788330078,77.36693572998047
